id,date,latitude,longitude,place_desc,title,description,source,links,filters
,2023-02-10,47.734746,36.535643,Ol'hivs'ke,Shelling at Ol'hivs'ke,"Alternate place names: Olhivske, Olhivskyi",DEFMON,[],[]
,2023-02-10,47.536674,35.887566,Mala Tokmachka,Shelling at Mala Tokmachka,"Alternate place names: Mala Tokmachka, Malya Tokmachka",DEFMON,[],[]
,2023-02-10,47.536546,35.458466,Stepove,Shelling at Stepove,Alternate place names: Stepovoy ,DEFMON,[],[]
,2023-02-10,47.560718,35.769044,Orikhiv,Shelling at Orikhiv,"Alternate place names: Orikhiv,  Orihiv, Orikhov, Orihiv,Orykhiv",DEFMON,[],[]
,2023-02-10,47.805964,36.623268,Novopil',Shelling at Novopil',"Alternate place names: Novopol, Novopolya",DEFMON,[],[]
,2023-02-10,47.611908,35.452858,Luk'yanivs'ke,Shelling at Luk'yanivs'ke,"Alternate place names: Lukyanivske, Lukyanivskyi, Lukyantsi",DEFMON,[],[]
,2023-02-10,47.814293,36.805381,Neskuchne,Shelling at Neskuchne,"Alternate place names: Neskuchne, Neskuchny",DEFMON,[],[]
,2023-02-10,47.823381,36.575405,Temyrivka,Shelling at Temyrivka,Alternate place names: Temyrivka,DEFMON,[],[]
,2023-02-10,46.701482,32.818164,Sadove,Shelling at Sadove,"Alternate place names: Sadove, Sadovoy",DEFMON,[],[]
,2023-02-10,46.615129,31.540053,Ochakiv,Shelling at Ochakiv,Alternate place names: Ochakiv,DEFMON,[],[]
,2023-02-10,47.093664,33.741445,Kachkarivka,Shelling at Kachkarivka,Alternate place names: Kachkarivka,DEFMON,[],[]
,2023-02-10,46.755169,32.962119,Tokarivka,Shelling at Tokarivka,Alternate place names: Tokarivka,DEFMON,[],[]
,2023-02-10,46.636153,32.502643,Komyshany,Shelling at Komyshany,Alternate place names: Komysany,DEFMON,[],[]
,2023-02-10,46.681304,32.696936,Antonivka,Shelling at Antonivka,Alternate place names: Antonivka,DEFMON,[],[]
,2023-02-10,46.571323,32.419653,Berehove,Shelling at Berehove,Alternate place names: Berehove,DEFMON,[],[]
,2023-02-10,46.7902735,33.3572908,Vesele,Shelling at Vesele,Alternate place names: Vesele,DEFMON,[],[]
,2023-02-11,51.451431,31.782413,Mykolaivka,Shelling at Mykolaivka,"Alternate place names: Mykolaivka, Mykolayivka",DEFMON,[],[]
,2023-02-11,52.08826,31.778857,Sen'kivka,Shelling at Sen'kivka,Alternate place names: Senkivka,DEFMON,[],[]
,2023-02-11,52.068863,31.843614,Khrinivka,Shelling at Khrinivka,Alternate place names: Khrinivka,DEFMON,[],[]
,2023-02-11,51.215133,34.507118,Pavlivka,Shelling at Pavlivka,"Alternate place names: Pavlivka, Pavlovka",DEFMON,[],[]
,2023-02-11,50.413691,35.546543,Ponomarenky,Shelling at Ponomarenky,Alternate place names: Ponomarenki,DEFMON,[],[]
